Type,Category,Amount,Date,Memo
支出,食費,100,2024-05-01,〇〇店
支出,日用品,2000,2024-05-15,
支出,光熱費,10000,2024-05-24,電気代
収入,給料,200000,2024-05-25,
支出,食費,5000,2025-06-01,〇〇店
収入,給料,240000,2025-06-25,
支出,日用品,10000,2025-06-27,
支出,光熱費,20000,2025-06-30,電気代・ガス代
支出,食費,500,2025-07-01,〇〇店
支出,食費,5000,2025-07-02,××店
支出,食費,10000,2025-07-03,△△店
支出,交通費,10000,2025-07-10,ガソリン代
収入,賞与,100000,2025-07-15,
支出,光熱費,5000,2025-07-20,ガス代
支出,光熱費,4000,2025-07-20,水道代
支出,光熱費,8000,2025-07-20,電気代
収入,給料,200000,2025-07-25,
支出,交通費,6000,2025-07-31,電車代
